method_code	target_scope	target_name	amplicon_size	actual_length	source	status	accession
QL-ELE-cry1A 4-5'/cry1A 4-3'	element-specific	CS-cry1Ab-BACTU	152	152	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-cry1A.105 - F1/cry1A.105 - R1	element-specific	CS-cry1A_105-SYNTH	133	133	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-cry2Ab2 - F/cry2Ab2 - R	element-specific	CS-cry2Ab2-BACTK	121	121	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-cry3A-F/cry3A-R	element-specific	CS-mcry3A-SYNTH, CS-cry3A-BACTT	117	117	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-epsps 1-5'/epsps 3-3'	element-specific	CS-CP4epsps-RHIRD	118	118	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-epsps2 1-5'/epsps2 1-3'	element-specific	CS-CP4epsps-RHIRD	118	118	euginius_amplicon	OK_CLEAN	EUginius
QL-ELE-npt 1-5'/npt 1-3'	element-specific	CS-nptII-ECOLX, V-nptII-ECOLX	155	155	euginius_amplicon	OK_CLEAN	EUginius
QL-EVE-16-0-1RB-F/16-0-1RB-R	event-specific	16-0-1	88	88	euginius_amplicon	OK_CLEAN	EUginius
QL-EVE-18-2-4RB-F/18-2-4RB-R	event-specific	18-2-4	152	152	euginius_amplicon	OK_CLEAN	EUginius
QL-EVE-319FalF/320FalR	event-specific	Falcon GS 40/90	83	83	euginius_amplicon	OK_CLEAN	EUginius
QL-EVE-375LibF/376LibR	event-specific	Liberator	96	96	euginius_amplicon	OK_CLEAN	EUginius
QL-EVE-558F/558R	event-specific	e871 Bacillus subtilis	76	76	euginius_amplicon	OK_CLEAN	EUginius
QL-EVE-816AvaF/817AvaR	event-specific	Falcon GS 40/90	166	166	euginius_amplicon	OK_CLEAN	EUginius
QL-EVE-BN-002	event-specific	GT73	204	0		SKIPPED	EUginius
QL-EVE-CP-001	event-specific	Huanong No. 1	285	285	euginius_amplicon	OK_CLEAN	EUginius
QL-EVE-DC-001	event-specific	123.2.38	375	0		SKIPPED	EUginius
QL-EVE-DC-003	event-specific	25958	482	0		SKIPPED	EUginius
QL-EVE-DC-004	event-specific	26407	491	0		SKIPPED	EUginius
QL-EVE-DC-005	event-specific	27531	458	0		SKIPPED	EUginius
QL-EVE-DC-006	event-specific	123.8.8	338	0		SKIPPED	EUginius
QL-EVE-EC-001	event-specific	PT73 E. coli (TM)	90	0		SKIPPED	EUginius
QL-EVE-EC-002	event-specific	PL73 E. coli (LM)	85	0		SKIPPED	EUginius
QL-EVE-KP-001	event-specific	MXY0541 Pichia pastoris	130	0		SKIPPED	EUginius
QL-EVE-Kef6 forward/Kef6 reverse	event-specific	Kefeng6	128	128	euginius_amplicon	OK_CLEAN	EUginius
QL-EVE-MDB110/SHA016	event-specific	OXY-235	119	119	euginius_amplicon	OK_CLEAN	EUginius
QL-EVE-MS-J101-F/J101-R	event-specific	J101	102	102	euginius_amplicon	OK_CLEAN	EUginius
QL-EVE-MS-J163-F/J163-R	event-specific	J163	118	118	euginius_amplicon	OK_CLEAN	EUginius
QL-EVE-MS-KK179-F/KK179-R	event-specific	KK179	179	179	euginius_amplicon	OK_CLEAN	EUginius
QL-EVE-OS-001	event-specific	LLRICE601	66	0		SKIPPED	EUginius
QL-EVE-OS-KM2_for/KM1_rev	event-specific	KMD1	78	78	euginius_amplicon	OK_CLEAN	EUginius
QL-EVE-Oxy-3F/Oxy-4R	event-specific	OXY-235	124	124	euginius_amplicon	OK_CLEAN	EUginius
QL-EVE-SQ0718/SQ0719	event-specific	MON71800	95	0		SKIPPED	EUginius
QL-EVE-SS-AquAd-F/AquAd-R	event-specific	AquAdvantage Salmon	156	156	euginius_amplicon	OK_CLEAN	EUginius
QL-EVE-TA-MON71200	event-specific	MON71200	139	0		SKIPPED	EUginius
QL-EVE-ZM-001	event-specific	MON810	170	0		SKIPPED	EUginius
QL-EVE-ZM-002	event-specific	Bt10 maize	117	0		SKIPPED	EUginius
QL-EVE-ZM-P1waxy/P2waxy	event-specific	GE-CRISPR-Cas Waxy Corn	108	0		SKIPPED	EUginius
QL-EVE-ZM-P3waxy/P2waxy	event-specific	GE-CRISPR-Cas Waxy Corn	145	0		SKIPPED	EUginius
QL-PLN-00-007	taxon-specific	all-plants	571	0		SKIPPED	EUginius
QL-TAX-AT-001	element-specific	CS-nos-RHIRD	86	86	euginius_amplicon	OK_CLEAN	EUginius
QL-TAX-Acc1-F/Acc1-R	taxon-specific	Medicago sativa	91	91	euginius_amplicon	OK_CLEAN	EUginius
QL-TAX-BN-003	taxon-specific	Brassica napus	85	0		SKIPPED	EUginius
QL-TAX-BN-004	taxon-specific	Brassica napus	219	0		SKIPPED	EUginius
QL-TAX-CMV-001	taxon-specific	Cauliflower mosaic virus	68	68	local_match:ncbi|V00141.1	OK_LOCAL	EUginius
QL-TAX-CP-001	taxon-specific	Carica papaya	282	282	euginius_amplicon	OK_CLEAN	EUginius
QL-TAX-CaMVF/CaMVR	taxon-specific	Cauliflower mosaic virus	90	90	euginius_amplicon	OK_CLEAN	EUginius
QL-TAX-DC-001	taxon-specific	Dianthus caryophyllus	1279	1279	euginius_amplicon	OK_CLEAN	EUginius
QL-TAX-FMVorf7-F4/FMVorf7-R4	taxon-specific	Figwort mosaic virus	113	113	local_match:ncbi|NC_003554.1	OK_LOCAL	EUginius
QL-TAX-GM-001	taxon-specific	Glycine max	81	0		SKIPPED	EUginius
QL-TAX-GM-002	taxon-specific	Glycine max	118	0		SKIPPED	EUginius
QL-TAX-GM-008	taxon-specific	Glycine max	118	0		SKIPPED	EUginius
QL-TAX-LU-001	taxon-specific	Linum usitatissimum	68	0		SKIPPED	EUginius
QL-TAX-OS-002	taxon-specific	Oryza sativa	68	0		SKIPPED	EUginius
QL-TAX-OS-003	taxon-specific	Oryza sativa	68	0		SKIPPED	EUginius
QL-TAX-OS-006	taxon-specific	Oryza sativa	277	0		SKIPPED	EUginius
QL-TAX-PS-001	taxon-specific	Pisum sativum	78	78	euginius_amplicon	OK_CLEAN	EUginius
QL-TAX-SL-001	taxon-specific	Solanum lycopersicum	384	0		SKIPPED	EUginius
QL-TAX-SL-005	taxon-specific	Solanum lycopersicum	92	0		SKIPPED	EUginius
QL-TAX-SS-AM5F/AM5R	taxon-specific	Salmo salar	177	177	euginius_amplicon	OK_CLEAN	EUginius
QL-TAX-ZM-002	taxon-specific	Zea mays	83	0		SKIPPED	EUginius
QL-TAX-ZM-003	taxon-specific	Zea mays	225	0		SKIPPED	EUginius
QT-CON-00-001	construct-specific	GTS 40-3-2	121	0		SKIPPED	EUginius
QT-CON-00-002	construct-specific	GTS 40-3-2	88	0		SKIPPED	EUginius
QT-CON-00-003	construct-specific	GTS 40-3-2	74	0		SKIPPED	EUginius
QT-CON-00-004	construct-specific	DBN9936, MON80100, MON802, MON809, MON810	113	0		SKIPPED	EUginius
QT-CON-00-005	construct-specific	40416, 4114, 43A47, 676, 678, 680, A2704-12, A2704-21, A5547-127, A5547-35, DAS1507, DAS59122, DAS59132, DBN9004, DP32316, DP62151, DP910521, Falcon GS 40/90, GU262, HCN10, HCR-1, Liberator, T120-7, T14, T25, T45, Topas 19/2	149	0		SKIPPED	EUginius
QT-CON-00-006	construct-specific	Bt10 maize, Bt11	127	0		SKIPPED	EUginius
QT-CON-00-007	construct-specific	B827, Bt176	100	0		SKIPPED	EUginius
QT-CON-00-008	construct-specific	DAS44406, FG72, GA21, GHB614, GHB811	133	0		SKIPPED	EUginius
QT-ELE-00-001	element-specific	P-Cauliflower mosaic virus	79	79	local_match:promoter|P-35S-CaMV|Cauliflower_mosaic_virus|V00141.1|functional_35S_promoter_region,_-421_to_+109_relative_to_TSS|canonical_v1	OK_LOCAL	EUginius
QT-ELE-00-002	element-specific	CS-pat-STRVR	68	0		SKIPPED	EUginius
QT-ELE-00-003	element-specific	CS-cry1Ab-BACTU	129	0		SKIPPED	EUginius
QT-ELE-00-004	element-specific	E-35S-CaMV, P-Cauliflower mosaic virus, P-scp1-SYNTH	82	82	euginius_amplicon	OK_CLEAN	EUginius
QT-ELE-NOS ter 2-5' /NOS ter 2-3'	element-specific	T-nos-RHIRD	151	151	euginius_amplicon	OK_CLEAN	EUginius
QT-ELE-P35S 1-5'/P35S 1-3'	element-specific	P-Cauliflower mosaic virus	100	100	euginius_amplicon	OK_CLEAN	EUginius
QT-EVE-BN-001	event-specific	T45	123	0		SKIPPED	EUginius
QT-EVE-BN-002	event-specific	Ms8	130	0		SKIPPED	EUginius
QT-EVE-BN-003	event-specific	Rf3	139	0		SKIPPED	EUginius
QT-EVE-BN-004	event-specific	GT73	108	0		SKIPPED	EUginius
QT-EVE-BN-005	event-specific	Ms1	187	0		SKIPPED	EUginius
QT-EVE-BN-006	event-specific	Rf1	113	0		SKIPPED	EUginius
QT-EVE-BN-007	event-specific	Rf2	104	0		SKIPPED	EUginius
QT-EVE-BN-008	event-specific	Topas 19/2	95	0		SKIPPED	EUginius
QT-EVE-BN-009	event-specific	73496	84	0		SKIPPED	EUginius
QT-EVE-BN-010	event-specific	MON88302	101	0		SKIPPED	EUginius
QT-EVE-BN-011	event-specific	Ms11	124	0		SKIPPED	EUginius
QT-EVE-BN-012	event-specific	LBFLFK	128	0		SKIPPED	EUginius
QT-EVE-BN-013	event-specific	LBFLFK	123	0		SKIPPED	EUginius
QT-EVE-BN-014	event-specific	MON94100	89	0		SKIPPED	EUginius
QT-EVE-BV-001	event-specific	H7-1	108	0		SKIPPED	EUginius
QT-EVE-BV-002	event-specific	KWS20-1	77	0		SKIPPED	EUginius
QT-EVE-CP-001	event-specific	Huanong No. 1	175	175	euginius_amplicon	OK_CLEAN	EUginius
QT-EVE-DBN9501-qF/DBN9501-qR	event-specific	DBN9501	96	96	euginius_amplicon	OK_CLEAN	EUginius
QT-EVE-GH-001a	event-specific	281-24-236	111	0		SKIPPED	EUginius
QT-EVE-GH-001b	event-specific	3006-210-23	90	0		SKIPPED	EUginius
QT-EVE-GH-002	event-specific	LLCotton25	79	0		SKIPPED	EUginius
QT-EVE-GH-003	event-specific	MON1445	87	0		SKIPPED	EUginius
QT-EVE-GH-004	event-specific	MON531	72	0		SKIPPED	EUginius
QT-EVE-GH-005	event-specific	MON15985	82	0		SKIPPED	EUginius
QT-EVE-GH-006	event-specific	GHB614	120	0		SKIPPED	EUginius
QT-EVE-GH-007	event-specific	MON88913	94	0		SKIPPED	EUginius
QT-EVE-GH-008	event-specific	GHB119	90	0		SKIPPED	EUginius
QT-EVE-GH-009	event-specific	T304-40	78	0		SKIPPED	EUginius
